Date,Transaction Details,Withdrawal,Deposits
23-05-2026,UPI/P2M/8335404814361/GADGET TECHNOLOGIES /UPI/IDFC FIRST BANK LTD,8200.00,
23-05-2026,UPI/P2M/8350128614361/UMME SALMA /Paymen/YES BANK LIMITED YBS,700.00,
23-05-2026,UPI/P2M/6143972675801/ZOMATO LIMITED /UPI/AXIS BANK,959.11,
23-05-2026,UPI/P2M/6143330173473/SWIGGY INSTAMART PRIV/Pay fo/AXIS BANK,830.00,
24-05-2026,UPI/P2M/9843278614461/GERMAN BREZELHAUS /UPI/HDFC BANK LTD,1721.00,
24-05-2026,UPI/P2M/6510834248931/SALMAN S /UPI/YES BANK LIMITED YBS,4400.00,
24-05-2026,UPI/P2M/6510304241811/AIRBNB PAYMENTS INDIA/Payvia/HDFC BANK LTD,6908.83,
24-05-2026,UPI/P2M/1387838014461/KURO /UPI/HDFC BANK LTD,2056.00,
25-05-2026,UPI/P2M/3271093814561/K226 KFC HSR Layout M/UPI/YES BANK LIMITED YBS,239.40,
25-05-2026,UPI/P2M/3293748514561/K226 KFC HSR Layout M/UPI/YES BANK LIMITED YBS,307.65,
25-05-2026,UPI/P2M/3320413014561/THE PRINCIPAL SECRETA/UPI/SBI PAYMENT SERVICES,500.00,
25-05-2026,UPI/P2M/3555554314561/MUHAMMED AJEER K P /UPI/YES BANK LIMITED YBS,40.00,
26-05-2026,UPI/P2M/5435691614661/MC DONALDS /UPI/HDFC BANK LTD,201.98,
26-05-2026,UPI/P2M/5450224214661/MC DONALDS /UPI/HDFC BANK LTD,368.00,
26-05-2026,UPI/P2M/5683194014661/Grand Fresh /UPI/YES BANK LIMITED YBS,80.00,
26-05-2026,UPI/P2M/6146020946191/INNOVENT SPACES PRIVA/INNOVE/AIRTEL PAYMENTS BANK,60.00,
27-05-2026,UPI/P2M/6513909893391/INNOVENT SPACES PRIVA/Induqu/AIRTEL PAYMENTS BANK,45.00,
27-05-2026,UPI/P2M/7031237314761/CITY FOOD CENTRE /UPI/YES BANK LIMITED YBS,442.00,
27-05-2026,UPI/P2M/7413436414761/CALIFORNIA BURRITO /UPI/HDFC BANK LTD,147.00,
27-05-2026,UPI/P2M/7431847914761/CALIFORNIA BURRITO /UPI/HDFC BANK LTD,147.00,
27-05-2026,UPI/P2M/7705405314761/VIMAYI MART /UPI/YES BANK LIMITED YBS,686.24,
27-05-2026,UPI/P2M/7716408014761/SV JUICE JOINT /UPI/YES BANK LIMITED YBS,60.00,
27-05-2026,UPI/P2M/6148861513651/Amazon Pay Groceries /You ar/AXIS BANK,2762.05,
28-05-2026,UPI/P2M/6514172221831/ZOMATO LIMITED /UPI/AXIS BANK,645.56,
29-05-2026,UPI/P2M/6515517647671/INNOVENT SPACES PRIVA/Induqu/AIRTEL PAYMENTS BANK,75.00,
29-05-2026,UPI/P2M/6149591139761/ZOMATO LIMITED /UPI/AXIS BANK,879.83,
30-05-2026,UPI/P2M/6516009068711/Malabar Gold Pvt Ltd /Buy/ro/AXIS BANK ABR,10000.00,
30-05-2026,UPI/P2M/6150401334821/Blinki /UPInt/HDFC BANK LTD,2988.00,
30-05-2026,ACH-CR-SAL-ENPHASE-SALARY M,,195029.00
30-05-2026,UPI/P2A/1033732931331/Blinki/HDFC/Refund/,2988.00,
30-05-2026,UPI/P2M/6150833617781/Blinki /Blinki/YES BANK LIMITED YBS,1894.00,
31-05-2026,UPI TO MERCHANT : ZOMATO (6517078397171),1577.00,
31-05-2026,UPI TO MERCHANT : ZOMATO LIMITED (6517101511391),831.68,
31-05-2026,UPI TO MERCHANT : HEISETASSE BEVERAGES (6594860161516),335.00,
31-05-2026,UPI TO MERCHANT : CLICK2RACE PRIVATE LI (6517614678031),3245.00,
31-05-2026,UPI TO MERCHANT : CLICK2RACE PRIVATE LI (6517505700111),1534.00,
